Day,Date,Fassala sim,Fassala data,Fassala error,Mentao sim,Mentao data,Mentao error,Dori sim,Dori data,Dori error,Damba sim,Damba data,Damba error,Djibo sim,Djibo data,Djibo error,Niamey sim,Niamey data,Niamey error,Mangaize sim,Mangaize data,Mangaize error,Ayorou sim,Ayorou data,Ayorou error,Tahoua sim,Tahoua data,Tahoua error,Abala sim,Abala data,Abala error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
38,2022-10-09,9612,11688,0.1776,8585,8673,0.0101,7225,7256,0.0043,4362,4559,0.0432,2199,2376,0.0745,36204,36643,0.012,5717,5768,0.0088,11009,11246,0.0211,12475,11089,0.125,21117,22318,0.0538,0.0497374895376265,121616,118890,118281,118505,213
39,2022-10-10,9606,11688,0.1781,8588,8673,0.0098,7230,7256,0.0036,4362,4559,0.0432,2195,2376,0.0762,36204,36643,0.012,5717,5768,0.0088,11003,11246,0.0216,12475,11089,0.125,21117,22318,0.0538,0.049805125083487625,121616,118894,118281,118497,213
40,2022-10-11,9598,11688,0.1788,8591,8673,0.0095,7232,7256,0.0033,4362,4559,0.0432,2192,2376,0.0774,36204,36643,0.012,5717,5768,0.0088,10999,11246,0.022,12475,11089,0.125,21117,22318,0.0538,0.049889669515814035,121616,118892,118281,118487,213
41,2022-10-12,9590,11688,0.1795,8595,8673,0.009,7239,7256,0.0023,4362,4559,0.0432,2188,2376,0.0791,36204,36643,0.012,5717,5768,0.0088,10992,11246,0.0226,12475,11089,0.125,21117,22318,0.0538,0.049957305061675165,121616,118892,118281,118479,213
42,2022-10-13,9582,11688,0.1802,8598,8673,0.0086,7245,7256,0.0015,4362,4559,0.0432,2185,2376,0.0804,36204,36643,0.012,5717,5768,0.0088,10986,11246,0.0231,12475,11089,0.125,21117,22318,0.0538,0.05002494060753629,121616,118893,118281,118471,213
43,2022-10-14,9574,11688,0.1809,8603,8673,0.0081,7249,7256,0.001,4362,4559,0.0432,2180,2376,0.0825,36204,36643,0.012,5717,5768,0.0088,10982,11246,0.0235,12475,11089,0.125,21117,22318,0.0538,0.05009257615339742,121616,118892,118281,118463,213
44,2022-10-15,9569,11688,0.1813,8608,8673,0.0075,7254,7256,0.0003,4362,4559,0.0432,2175,2376,0.0846,36204,36643,0.012,5717,5768,0.0088,10977,11246,0.0239,12475,11089,0.125,21117,22318,0.0538,0.05013484836956062,121616,118894,118281,118458,213
45,2022-10-16,9557,11688,0.1823,8611,8673,0.0071,7258,7256,0.0003,4362,4559,0.0432,2172,2376,0.0859,36204,36643,0.012,5717,5768,0.0088,10968,11246,0.0247,12475,11089,0.125,21117,22318,0.0538,0.05031239167744608,121616,118894,118281,118441,213
46,2022-10-17,9552,11688,0.1828,8616,8673,0.0066,7264,7256,0.0011,4362,4559,0.0432,2167,2376,0.088,36204,36643,0.012,5717,5768,0.0088,10961,11246,0.0253,12475,11089,0.125,21117,22318,0.0538,0.05046457165563362,121616,118867,118281,118435,213
47,2022-10-18,9546,11688,0.1833,8622,8673,0.0059,7268,7256,0.0017,4362,4559,0.0432,2161,2376,0.0905,36204,36643,0.012,5717,5768,0.0088,10956,11246,0.0258,12475,11089,0.125,21117,22318,0.0538,0.050591388304123235,121616,118866,118281,118428,213
48,2022-10-19,9534,11688,0.1843,8624,8673,0.0056,7271,7256,0.0021,4362,4559,0.0432,2159,2376,0.0913,36204,36643,0.012,5717,5768,0.0088,10952,11246,0.0261,12475,11089,0.125,21117,22318,0.0538,0.05075202272554341,121616,118865,118281,118415,213
49,2022-10-20,9527,11688,0.1849,8628,8673,0.0052,7276,7256,0.0028,4362,4559,0.0432,2155,2376,0.093,36204,36643,0.012,5717,5768,0.0088,10946,11246,0.0267,12475,11089,0.125,21117,22318,0.0538,0.050904202703730944,121616,118864,118281,118407,213
50,2022-10-21,9520,11688,0.1855,8629,8673,0.0051,7282,7256,0.0036,4362,4559,0.0432,2154,2376,0.0934,36204,36643,0.012,5717,5768,0.0088,10938,11246,0.0274,12475,11089,0.125,21117,22318,0.0538,0.05108174601161641,121616,118862,118281,118398,213
51,2022-10-22,9513,11688,0.1861,8632,8673,0.0047,7286,7256,0.0041,4362,4559,0.0432,2151,2376,0.0947,36204,36643,0.012,5717,5768,0.0088,10933,11246,0.0278,12475,11089,0.125,21117,22318,0.0538,0.05121701710333866,121616,118861,118281,118390,213
52,2022-10-23,9509,11688,0.1864,8633,8673,0.0046,7291,7256,0.0048,4362,4559,0.0432,2150,2376,0.0951,36204,36643,0.012,5717,5768,0.0088,10928,11246,0.0283,12475,11089,0.125,21117,22318,0.0538,0.051335379308595636,121616,118861,118281,118386,213
53,2022-10-24,9509,11688,0.1864,8635,8673,0.0044,7295,7256,0.0054,4362,4559,0.0432,2148,2376,0.096,36204,36643,0.012,5717,5768,0.0088,10923,11246,0.0287,12475,11089,0.125,21117,22318,0.0538,0.0514114692976894,121616,118860,118281,118385,213
54,2022-10-25,9509,11688,0.1864,8638,8673,0.004,7301,7256,0.0062,4362,4559,0.0432,2145,2376,0.0972,36204,36643,0.012,5717,5768,0.0088,10917,11246,0.0293,12475,11089,0.125,21117,22318,0.0538,0.05151292261648109,121616,118860,118281,118385,213
55,2022-10-26,9509,11688,0.1864,8642,8673,0.0036,7308,7256,0.0072,4362,4559,0.0432,2141,2376,0.0989,36204,36643,0.012,5717,5768,0.0088,10908,11246,0.0301,12475,11089,0.125,21117,22318,0.0538,0.051648193708203345,121616,118858,118281,118383,213
56,2022-10-27,9509,11688,0.1864,8646,8673,0.0031,7314,7256,0.008,4362,4559,0.0432,2137,2376,0.1006,36204,36643,0.012,5717,5768,0.0088,10902,11246,0.0306,12475,11089,0.125,21117,22318,0.0538,0.051749647026995034,121616,118858,118281,118383,213
57,2022-10-28,9509,11688,0.1864,8649,8673,0.0028,7318,7256,0.0085,4362,4559,0.0432,2134,2376,0.1019,36204,36643,0.012,5717,5768,0.0088,10897,11246,0.031,12475,11089,0.125,21117,22318,0.0538,0.05182573701608881,121616,118857,118281,118382,213
58,2022-10-29,9509,11688,0.1864,8651,8673,0.0025,7324,7256,0.0094,4362,4559,0.0432,2132,2376,0.1027,36204,36643,0.012,5717,5768,0.0088,10890,11246,0.0317,12475,11089,0.125,21117,22318,0.0538,0.05193564477811314,121616,118856,118281,118381,213
59,2022-10-30,9509,11688,0.1864,8654,8673,0.0022,7333,7256,0.0106,4362,4559,0.0432,2129,2376,0.104,36204,36643,0.012,5717,5768,0.0088,10880,11246,0.0325,12475,11089,0.125,21117,22318,0.0538,0.052096279199533316,121616,118855,118281,118380,213
60,2022-10-31,9509,11688,0.1864,8659,8673,0.0016,7336,7256,0.011,4362,4559,0.0432,2124,2376,0.1061,36204,36643,0.012,5717,5768,0.0088,10877,11246,0.0328,12475,11089,0.125,21117,22318,0.0538,0.05214700585892916,121616,118855,118281,118380,213
61,2022-11-01,9504,11688,0.1869,8664,8673,0.001,7344,7256,0.0121,4362,4559,0.0432,2119,2376,0.1082,36204,36643,0.012,5717,5768,0.0088,10868,11246,0.0336,12475,11089,0.125,21117,22318,0.0538,0.05233300361004726,121616,118854,118281,118374,213
62,2022-11-02,9504,11688,0.1869,8667,8673,0.0007,7349,7256,0.0128,4362,4559,0.0432,2116,2376,0.1094,36204,36643,0.012,5717,5768,0.0088,10863,11246,0.0341,12475,11089,0.125,21117,22318,0.0538,0.05241754804237367,121616,118854,118281,118374,213
63,2022-11-03,9504,11688,0.1869,8667,8673,0.0007,7355,7256,0.0136,4362,4559,0.0432,2116,2376,0.1094,36204,36643,0.012,5717,5768,0.0088,10856,11246,0.0347,12475,11089,0.125,21117,22318,0.0538,0.052527455804398,121616,118853,118281,118373,213
64,2022-11-04,9504,11688,0.1869,8669,8673,0.0005,7357,7256,0.0139,4362,4559,0.0432,2114,2376,0.1103,36204,36643,0.012,5717,5768,0.0088,10853,11246,0.0349,12475,11089,0.125,21117,22318,0.0538,0.05256972802056121,121616,118852,118281,118372,213
65,2022-11-05,9504,11688,0.1869,8669,8673,0.0005,7361,7256,0.0145,4362,4559,0.0432,2114,2376,0.1103,36204,36643,0.012,5717,5768,0.0088,10848,11246,0.0354,12475,11089,0.125,21117,22318,0.0538,0.052645818009654975,121616,118851,118281,118371,213
66,2022-11-06,9504,11688,0.1869,8670,8673,0.0003,7364,7256,0.0149,4362,4559,0.0432,2113,2376,0.1107,36204,36643,0.012,5717,5768,0.0088,10845,11246,0.0357,12475,11089,0.125,21117,22318,0.0538,0.05269654466905082,121616,118851,118281,118371,213
67,2022-11-07,9504,11688,0.1869,8673,8673,0.0,7369,7256,0.0156,4362,4559,0.0432,2110,2376,0.112,36204,36643,0.012,5717,5768,0.0088,10839,11246,0.0362,12475,11089,0.125,21117,22318,0.0538,0.05278954354460987,121616,118850,118281,118370,213
68,2022-11-08,9504,11688,0.1869,8676,8673,0.0003,7372,7256,0.016,4362,4559,0.0432,2107,2376,0.1132,36204,36643,0.012,5717,5768,0.0088,10834,11246,0.0366,12475,11089,0.125,21117,22318,0.0538,0.05290790574986684,121616,118848,118281,118368,213
69,2022-11-09,9504,11688,0.1869,8678,8673,0.0006,7380,7256,0.0171,4362,4559,0.0432,2105,2376,0.1141,36204,36643,0.012,5717,5768,0.0088,10826,11246,0.0373,12475,11089,0.125,21117,22318,0.0538,0.05307699461451966,121616,118848,118281,118368,213
70,2022-11-10,9504,11688,0.1869,8679,8673,0.0007,7392,7256,0.0187,4362,4559,0.0432,2104,2376,0.1145,36204,36643,0.012,5717,5768,0.0088,10813,11246,0.0385,12475,11089,0.125,21117,22318,0.0538,0.05330526458180097,121616,118847,118281,118367,213
71,2022-11-11,9504,11688,0.1869,8684,8673,0.0013,7399,7256,0.0197,4362,4559,0.0432,2099,2376,0.1166,36204,36643,0.012,5717,5768,0.0088,10803,11246,0.0394,12475,11089,0.125,21117,22318,0.0538,0.05353353454908227,121616,118844,118281,118364,213
72,2022-11-12,9504,11688,0.1869,8687,8673,0.0016,7405,7256,0.0205,4362,4559,0.0432,2096,2376,0.1178,36204,36643,0.012,5717,5768,0.0088,10797,11246,0.0399,12475,11089,0.125,21117,22318,0.0538,0.05368571452726981,121616,118844,118281,118364,213
73,2022-11-13,9504,11688,0.1869,8690,8673,0.002,7407,7256,0.0208,4362,4559,0.0432,2093,2376,0.1191,36204,36643,0.012,5717,5768,0.0088,10792,11246,0.0404,12475,11089,0.125,21117,22318,0.0538,0.05379562228929414,121616,118841,118281,118361,213
74,2022-11-14,9504,11688,0.1869,8692,8673,0.0022,7410,7256,0.0212,4362,4559,0.0432,2091,2376,0.1199,36204,36643,0.012,5717,5768,0.0088,10788,11246,0.0407,12475,11089,0.125,21117,22318,0.0538,0.05388862116485319,121616,118840,118281,118360,213
75,2022-11-15,9504,11688,0.1869,8694,8673,0.0024,7416,7256,0.0221,4362,4559,0.0432,2089,2376,0.1208,36204,36643,0.012,5717,5768,0.0088,10782,11246,0.0413,12475,11089,0.125,21117,22318,0.0538,0.054023892256575445,121616,118840,118281,118360,213
76,2022-11-16,9504,11688,0.1869,8697,8673,0.0028,7424,7256,0.0232,4362,4559,0.0432,2086,2376,0.1221,36204,36643,0.012,5717,5768,0.0088,10773,11246,0.0421,12475,11089,0.125,21117,22318,0.0538,0.05421834445092619,121616,118839,118281,118359,213
77,2022-11-17,9504,11688,0.1869,8700,8673,0.0031,7429,7256,0.0238,4362,4559,0.0432,2082,2376,0.1237,36204,36643,0.012,5717,5768,0.0088,10768,11246,0.0425,12475,11089,0.125,21117,22318,0.0538,0.05436206998588108,121616,118839,118281,118358,213
78,2022-11-18,9504,11688,0.1869,8701,8673,0.0032,7438,7256,0.0251,4362,4559,0.0432,2081,2376,0.1242,36204,36643,0.012,5717,5768,0.0088,10757,11246,0.0435,12475,11089,0.125,21117,22318,0.0538,0.05454806773699918,121616,118839,118281,118356,213
79,2022-11-19,9504,11688,0.1869,8702,8673,0.0033,7443,7256,0.0258,4362,4559,0.0432,2079,2376,0.125,36204,36643,0.012,5717,5768,0.0088,10750,11246,0.0441,12475,11089,0.125,21117,22318,0.0538,0.054674884385488794,121616,118837,118281,118353,213
80,2022-11-20,9504,11688,0.1869,8703,8673,0.0035,7452,7256,0.027,4362,4559,0.0432,2078,2376,0.1254,36204,36643,0.012,5717,5768,0.0088,10740,11246,0.045,12475,11089,0.125,21117,22318,0.0538,0.054852427693374256,121616,118836,118281,118352,213
81,2022-11-21,9504,11688,0.1869,8704,8673,0.0036,7457,7256,0.0277,4362,4559,0.0432,2077,2376,0.1258,36204,36643,0.012,5717,5768,0.0088,10734,11246,0.0455,12475,11089,0.125,21117,22318,0.0538,0.05496233545539859,121616,118847,118281,118351,213
82,2022-11-22,9504,11688,0.1869,8704,8673,0.0036,7459,7256,0.028,4362,4559,0.0432,2077,2376,0.1258,36204,36643,0.012,5717,5768,0.0088,10732,11246,0.0457,12475,11089,0.125,21117,22318,0.0538,0.054996153228329146,121616,118839,118281,118351,213
83,2022-11-23,9504,11688,0.1869,8710,8673,0.0043,7461,7256,0.0283,4362,4559,0.0432,2071,2376,0.1284,36204,36643,0.012,5717,5768,0.0088,10728,11246,0.0461,12475,11089,0.125,21117,22318,0.0538,0.055148333206516686,121616,118839,118281,118349,213
84,2022-11-24,9504,11688,0.1869,8713,8673,0.0046,7469,7256,0.0294,4362,4559,0.0432,2068,2376,0.1296,36204,36643,0.012,5717,5768,0.0088,10719,11246,0.0469,12475,11089,0.125,21117,22318,0.0538,0.05534278540086743,121616,118834,118281,118348,213
85,2022-11-25,9504,11688,0.1869,8716,8673,0.005,7477,7256,0.0305,4362,4559,0.0432,2065,2376,0.1309,36204,36643,0.012,5717,5768,0.0088,10711,11246,0.0476,12475,11089,0.125,21117,22318,0.0538,0.05552878315198553,121616,118836,118281,118348,213
